Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.LINE323,   0.476447,   -48.18, 1.37999E-010,    38.04, 8.80934E-010,   -92.01,          0,     0.00,   0.476447,   -48.18,   0.476447,   131.82, 1.37999E-010,  -141.96, 8.80934E-010,    87.99,          0,     0.00,   0.476447,   131.82
Line.LINE324,     5.8174,   -48.16,     3.3884,  -168.25,    1.35934,    71.81,          0,     0.00,    3.86112,   -75.18,     5.8174,   131.84,     3.3884,    11.75,    1.35934,  -108.19,          0,     0.00,    3.86112,   104.82
Line.LINE325,    3.85078,   -48.16,    6.99681,  -168.23,    3.87207,    71.78,          0,     0.00,    3.13168,  -168.62,    3.85078,   131.84,    6.99681,    11.77,    3.87207,  -108.22,          0,     0.00,    3.13168,    11.38
Line.LINE326, 7.27796E-012,   156.04, 1.00055E-011,   -89.19,   0.218211,    71.79,          0,     0.00,   0.218211,    71.79, 7.27796E-012,   -23.96, 1.00055E-011,    90.81,   0.218211,  -108.21,          0,     0.00,   0.218211,  -108.21
Line.LINE327,   0.204244,   -48.19, 3.81752E-010,  -168.46, 8.19571E-010,   -96.12,          0,     0.00,   0.204244,   -48.19,   0.204244,   131.81, 3.81752E-010,    11.54, 8.19571E-010,    83.88,          0,     0.00,   0.204244,   131.81
Line.LINE328, 9.93248E-011,   174.75, 1.66401E-010,   147.61,   0.240928,    71.79,          0,     0.00,   0.240928,    71.79, 9.93248E-011,    -5.25, 1.66401E-010,   -32.39,   0.240928,  -108.21,          0,     0.00,   0.240928,  -108.21
Line.LINE329,   0.476447,   -48.18, 1.08094E-010,    36.98, 8.15494E-010,   -92.17,          0,     0.00,   0.476447,   -48.18,   0.476447,   131.82, 1.08094E-010,  -143.02, 8.15494E-010,    87.83,          0,     0.00,   0.476447,   131.82
Line.LINE330, 3.404E-012,     3.83, 1.14107E-011,   176.00,   0.222759,    71.79,          0,     0.00,   0.222759,    71.79, 3.404E-012,  -176.17, 1.14107E-011,    -4.00,   0.222759,  -108.21,          0,     0.00,   0.222759,  -108.21
Line.LINE331,     5.8174,   -48.16,     3.3884,  -168.25,    1.13658,    71.81,          0,     0.00,     4.0497,   -76.90,     5.8174,   131.84,     3.3884,    11.75,    1.13658,  -108.19,          0,     0.00,     4.0497,   103.10
Line.LINE332,    3.85078,   -48.16,    6.99681,  -168.23,    3.87207,    71.78,          0,     0.00,    3.13168,  -168.62,    3.85078,   131.84,    6.99681,    11.77,    3.87207,  -108.22,          0,     0.00,    3.13168,    11.38
